id,name,lat,long,location_name,region_name,country_name
97512,"Marandhoo Little Blue",6.85758,72.9897,"North Thiladhunmatee Atoll","Laccadive Sea",Maldives
97515,"Mulidhoo Faru",6.82963,73.0175,"North Thiladhunmatee Atoll","Laccadive Sea",Maldives
97516,"Alidhoo Caves",6.85144,73.1528,"North Thiladhunmatee Atoll","Laccadive Sea",Maldives
97517,"Thinfushi Etere Thila",3.56362,72.9393,"Ari Atoll","Laccadive Sea",Maldives
97519,"The Wall",4.12643,73.5094,"South Male Atoll","Laccadive Sea",Maldives
97574,"Bandos House Reef",4.26911,73.4887,"Male Atoll","Indian Ocean",Maldives
98549,"Furana Thila",4.25568,73.5472,"Male Atoll","Indian Ocean",Maldives
98550,"Komandoo House Reef",5.49367,73.4243,"Lhaviyani Atoll","Laccadive Sea",Maldives
98551,"Felivaru (Fish Factory) Out Reef",5.40397,73.6445,"Lhaviyani Atoll","Océan indien",Maldives
98731,"Ocean Side",4.29716,73.5719,"North Male Atoll","Indian Ocean",Maldives
98971,"Lankan Caves",4.27879,73.5517,"Male Atoll","Indian Ocean",Maldives
99214,Rasfari,4.38972,73.3459,"North Male Atoll","Laccadive Sea",Maldives
99215,"Rasdhoo Madivaru",4.26459,72.9994,"Rasdhoo Atoll","Laccadive Sea",Maldives
99223,"Rahdigga Thila",3.75335,72.7361,"Ari Atoll","Laccadive Sea",Maldives
99227,"Pretty Rock",3.56992,72.94,"Ari Atoll","Laccadive Sea",Maldives
99228,"Potato Reef",3.97198,73.491,"South Male Atoll","Laccadive Sea",Maldives
99232,"Omadhoo Thila",3.79518,72.9654,"Ari Atoll","Laccadive Sea",Maldives
99233,"Old Shark's Point",3.95759,73.492,"North Male Atoll","Laccadive Sea",Maldives
99239,"Nassimo Thila",4.28813,73.5332,"North Male Atoll","Laccadive Sea",Maldives
99445,"Hammerhead Point",4.261,72.9782,"Kuramathi (Rasdhoo Atoll)","Indian Ocean",Maldives
99529,"Miyaru Faru",3.9894,73.5188,"South Male Atoll","Laccadive Sea",Maldives
99530,"Medhu Faru",3.89365,73.4701,"South Male Atoll","Laccadive Sea",Maldives
99531,"Maledive Victory",4.17792,73.5267,"North Male Atoll","Laccadive Sea",Maldives
99540,"Madivaru Rangali Manta Point",3.58658,72.7171,"Ari Atoll","Laccadive Sea",Maldives
99541,"Machafushi Wreck",3.48326,72.8028,"Ari Atoll","Laccadive Sea",Maldives
99542,"Maaya Thila",4.09089,72.8619,"Ari Atoll","Laccadive Sea",Maldives
99543,"Maamigili Beyru",3.46887,72.8435,"Ari Atoll","Laccadive Sea",Maldives
99545,"Lion`S Head",4.18224,73.4143,"South Male Atoll","Laccadive Sea",Maldives
99562,"Lankan Outside",4.29369,73.5674,"North Male Atoll","Laccadive Sea",Maldives
99563,"Lankan Manta Point",4.27974,73.5571,"North Male Atoll","Laccadive Sea",Maldives
99565,"Kudarah Thila",3.56902,72.9155,"Ari Atoll","Laccadive Sea",Maldives
99566,"Kuda Giri",3.97191,73.4912,"South Male Atoll","Laccadive Sea",Maldives
99575,"Kandooma Thila",3.90878,73.4745,"South Male Atoll","Laccadive Sea",Maldives
99576,"Kandholhudoo Thila",3.98859,72.7755,"North Ari Atoll","Laccadive Sea",Maldives
99577,"Kalahadhi Huraa (Panettone)",3.79677,72.7123,"Ari Atoll","Laccadive Sea",Maldives
99578,"Kahabu Thila",3.61395,72.9577,"Ari Atoll","Laccadive Sea",Maldives
99582,"Kandholhudoo Thila",3.98859,72.7755,"Ari Atoll","Laccadive Sea",Maldives
99583,"Hp Reef",4.31337,73.5786,"North Male Atoll","Laccadive Sea",Maldives
99584,"Hafsa Thila",4.12882,72.8381,"Ari Atoll","Laccadive Sea",Maldives
99586,"Guraidhoo Corner",3.88939,73.4687,"South Male Atoll","Laccadive Sea",Maldives
99683,"Maguhdhuvaa Island",0.277463,73.3569,"Gaafu Dhaalu Atoll","Indian Ocean",Maldives
99691,"Ghuli Outside",4.00948,73.5325,"South Male Atoll","Laccadive Sea",Maldives
99692,"Ghuli Channel",3.99047,73.5148,"South Male Atoll","Laccadive Sea",Maldives
100634,"Lankan Caves",4.2794,73.5515,"North Male Atoll","Indian Ocean",Maldives
100661,"Gaaviya Thila",3.76431,72.7066,"Ari Atoll","Laccadive Sea",Maldives
100662,"Furana Outside",4.24901,73.5495,"North Male Atoll","Laccadive Sea",Maldives
100663,"Fish Head",3.93591,72.9128,"Ari Atoll","Laccadive Sea",Maldives
100664,"Fesdu Wreck",3.99955,72.7849,"Ari Atoll","Laccadive Sea",Maldives
100666,"Embudu House Reef",4.08436,73.514,"South Male Atoll","Laccadive Sea",Maldives
100667,"Embudu Coral Garden",4.08276,73.511,"South Male Atoll","Laccadive Sea",Maldives
100668,"Embudu Channel",4.08821,73.5311,"South Male Atoll","Laccadive Sea",Maldives
100669,"Embudu Thila",4.08876,73.5338,"South Male Atoll","Laccadive Sea",Maldives
100670,"Embudu Express",4.08422,73.5285,"South Male Atoll","Laccadive Sea",Maldives
100671,"Embubu Corner",4.12352,73.5236,"South Male Atoll","Laccadive Sea",Maldives
100770,"Dragon`S Mouth",4.17146,73.4748,"North Male Atoll","Laccadive Sea",Maldives
100771,"Dhigurah Faru",3.52607,72.9295,"Ari Atoll","Laccadive Sea",Maldives
100772,"Dhigu Beyru",3.98086,73.5104,"South Male Atoll","Laccadive Sea",Maldives
100773,"Dega Thila",3.83351,72.7459,"Ari Atoll","Laccadive Sea",Maldives
101023,"Cocoa Corner",3.90915,73.4812,"South Male Atoll","Laccadive Sea",Maldives
101026,"Broken Rock",3.56671,72.9436,"Ari Atoll","Laccadive Sea",Maldives
101027,"Boduhithi Thila",4.45236,73.3657,"North Male Atoll","Laccadive Sea",Maldives
101028,"Bodufinolhu Thila",3.48738,72.7705,"Ari Atoll","Laccadive Sea",Maldives
101034,"Bathalaa Thila",4.06992,72.9491,"Ari Atoll","Laccadive Sea",Maldives
101035,"Bathalaa Maaga Kanthila",4.0576,72.9563,"Ari Atoll","Laccadive Sea",Maldives
101041,"Back Faru",4.23964,73.5546,"North Male Atoll","Laccadive Sea",Maldives
101050,"5 Rocks",3.56921,72.9407,"Ari Atoll","Laccadive Sea",Maldives
101231,"Kurumba Reef",4.22765,73.5177,"North Male Atoll","Indian Ocean",Maldives
102730,"Vavvaru Out Reef",5.41805,73.3545,"Lhaviyani Atoll","Océan indien",Maldives
102731,"Kuredu House Reef",5.55,73.45,"Kuredu, Lhaviyani Atoll","Océan indien",Maldives
103147,"Maldives Victory Wreck",4.1795,73.5257,"Male Atoll","Océan indien",Maldives
103153,"Alimata Faru",3.59083,73.4981,"Felidhe Atoll","Océan indien",Maldives
103154,"East Point",3.45371,73.774,"Felidhoo Atoll","Océan indien",Maldives
103155,Dhangethi,3.61355,72.9639,"Ari Atoll","Océan indien",Maldives
103156,Mandhoo,3.68028,72.6981,"South Ari Atoll","Océan indien",Maldives
103157,"Himandhoo Thila",3.91528,72.7141,"Ari Atoll","Océan indien",Maldives
103158,Halaveli,4.04621,72.9192,"North Ari Atoll","Océan indien",Maldives
103159,Maayafushi,4.07368,72.8876,"Ari Atoll","Océan indien",Maldives
